,importance
worst concave points,0.15895475500596873
worst area,0.14696233622157256
worst perimeter,0.08579302142031736
worst radius,0.07895238686084959
mean radius,0.07771417910601874
mean perimeter,0.07423416555742778
mean concave points,0.06586900985022048
mean concavity,0.05428077773218089
mean area,0.04165666846720783
worst concavity,0.03136222381434317
